INDEX,FACILITY_TYPE,NAME,ADDRESS,CITY,ST,ZIP,PHONE,ADMINISTRATOR,OWNER,LICENSE_NO,LICENSE_EXPIRATION,BEDS,long,lat
399,Hospital,Chi Saint Joseph Mount Sterling,225 Falcon Drive,Mt. Sterling,KY,40353,859-497-5018,Cinda Fluke,"Saint Joseph Health System, Inc.",100339,2025-12-31 00:00:00,N/A,-83.94510419297049,-83.94510419297049
400,Hospital,Morgan County Arh Hospital,476 Liberty Road,West Liberty,KY,41472,606-743-3186,Stephen Gavalchik,Appalachian Regional Healthcare Inc,600058,2025-03-31 00:00:00,N/A,-83.26628028,37.9218424
401,Hospital,Owensboro Health Muhlenberg Community Hospital,440 Hopkinsville Street,Greenville,KY,42345,270-338-8000,Ed Heath,"Oh Muhlenberg, Llc",100344,2026-08-31 00:00:00,N/A,-87.18877258,37.19699255
402,Hospital,Flaget Memorial Hospital ,4305 New Shepherdsville Road,Bardstown,KY,40004,502-350-5000,Jennifer Nolan,"Flaget Health, Inc.",100348,2026-04-30 00:00:00,N/A,-85.52275965,37.86306978
403,Hospital,Ohio County Hospital,1211 Old Main St.,Hartford,KY,42347,270-298-7411,Shellie Shouse,Ohio County Hospital Corporation,600073,2026-09-30 00:00:00,N/A,-86.89709693,37.44772974
404,Hospital,Baptist Health La Grange,1025 New Moody Lane,Lagrange,KY,40031,502-222-5388,Clint Kaho,"Baptist Healthcare Systems, Inc.",100575,2025-12-31 00:00:00,N/A,-85.37608798,38.39616058
405,Hospital,Kentucky Correctional Psychiatric Center,1612 Dawkins Road,Lagrange,KY,40031,502-222-7161,Greg Taylor,Commonwealth Of Ky,100528,2026-01-31 00:00:00,N/A,-85.41676211,38.41302817
406,Hospital,Hazard Arh Regional Medical Center,100 Medical Center Drive,Hazard,KY,41701,606-439-6600,Dan Stone,Appalachian Regional Healthcare Inc,100365,2026-05-31 00:00:00,N/A,-83.2281675,37.2774741
407,Hospital,Pikeville Medical Center,911 Bypass Rd,Pikeville,KY,41501,606-218-3500,Michael Frey,"Pikeville Medical Center, Inc.",100366,2026-02-28 00:00:00,N/A,-82.5219823,37.4706568
408,Hospital,Tug Valley Arh Regional Medical Center,260 Hospital Drive,South Williamson,KY,41503,606-237-1700,Timothy Hatfield,"Appalachian Regional Healthcare, Inc.",100368,2025-11-30 00:00:00,N/A,-82.29606816,37.67663511
409,Hospital,Lake Cumberland Regional Hospital,305 Langdon Street,Somerset,KY,42502,606-679-7441,Steve Sloan,"Lake Cumberland, Llc",100959,2025-06-30 00:00:00,N/A,-84.6210369,37.0849757
410,Hospital,Rockcastle Regional Hospital & Respiratory Care Center,145 Newcomb Ave,Mt Vernon,KY,40456,606-256-2195,Stephen Estes,"Rockcastle Regional Hsp And Respiratory Care Ctr, Inc",100960,2025-12-31 00:00:00,N/A,-84.33609373,37.35760565
411,Hospital,St. Claire Regional Medical Center,222 Medical Circle,Morehead,KY,40351,606-783-6500,Donald Lloyd Ii,St Claire Medical Center Inc,100377,2025-12-31 00:00:00,N/A,-83.44297749,38.18048788
412,Hospital,Russell County Hospital,"153 Dowell Rd., Po Box 1610",Russell Springs,KY,42642,270-866-4141,Patrick Branco,"Russell County Hospital District Health Facility Corporation, Inc.",600081,2025-06-30 00:00:00,N/A,-85.06696191,37.05743689
413,Hospital,Georgetown Community Hospital,1140 Lexington Road,Georgetown,KY,40324,502-868-1100,William Haugh,"Georgetown Community, Llc",100380,2026-03-31 00:00:00,N/A,-84.56218795,38.18577419
414,Hospital,Uofl Health - Shelbyville Hospital,727 Hospital Drive,Shelbyville,KY,40065,502-647-4300,Aaron Garofola,"Uofl Health - Shelbyville, Inc.",100385,2026-06-30 00:00:00,N/A,-85.23600481,38.21034498
415,Hospital,The Medical Center At Franklin,1100 Brookhaven Road,Franklin,KY,42134,270-598-4800,Anette Runyon,Bowling Green-Warren County Community Hospital Corporation,600069,2026-02-28 00:00:00,N/A,-86.5759788,36.7027878
416,Hospital,Taylor Regional Hospital,1700 Old Lebanon Road,Campbellsville,KY,42718,270-465-3561,Mike Everett,Taylor Co Hosp Dist Health Facilities Corp,100394,2026-07-31 00:00:00,N/A,-85.33912937,37.36568051
417,Hospital,Trigg County Hospital Inc.,254 Main Street,Cadiz,KY,42211,270-522-3215,John Sumner,Trigg County Hospital Inc,600055,2025-11-30 00:00:00,N/A,-87.82203258,36.86707926
418,Hospital,Deaconess Union County Hospital,4604 U.S. Hwy. 60W,Morganfield,KY,42437,270-389-3030,Benny Nolen,"Deaconess Health Kentucky, Inc.",600057,2025-12-31 00:00:00,N/A,-87.94367878,37.62676339
419,Hospital,Rivendell Behavioral Health Services,1035 Porter Pike Rd,Bowling Green,KY,42103,270-843-1199,Jeremy Wagoner,"Uhs Of Bowling Green, Llc",100564,2026-01-31 00:00:00,N/A,-86.37954037,36.99882968
420,Hospital,Southern Kentucky Rehabilitation Hospital,1300 Campbell Lane,Bowling Green,KY,42104,270-782-6900,Stuart Locke,"1300 Campbell Lane Operating Company, Llc",100655,2026-08-31 00:00:00,N/A,-86.44779171,36.95728332
421,Hospital,The Medical Center At Bowling Green,250 Park Street,Bowling Green,KY,42101,270-745-1000,Connie Smith,B G Warren County Comm Hosp Corp,100404,2026-02-28 00:00:00,N/A,-86.4300256,36.99637389
422,Hospital,Tristar Greenview Regional Hospital,1801 Ashley Circle,Bowling Green,KY,42102,270-793-1000,Mike Sherrod,Greenview Hospital Inc,100406,2026-02-28 00:00:00,N/A,-86.43593639,36.96581029
423,Hospital,"Wayne County Hospital, Inc.",166 Hospital Street,Monticello,KY,42633,606-348-9343,Joe Murrell,"Wayne County Hospital, Inc.",600074,2026-03-31 00:00:00,N/A,-84.86816427,36.820196
424,Hospital,Bluegrass Community Hospital,360 Amsden Ave.,Versailles,KY,40383,859-879-2300,William Haugh,Woodford  Hospital Llc,600059,2025-12-31 00:00:00,N/A,-84.72438692,38.05478844
425,​Laboratories,"Advanced Dermatology, Psc","715 Shaker Drive, Suite 132",Lexington,KY,40504,(859) 288-5004,Carter Beard Leigh Ann,"Advanced Dermatology, Psc",200294,N/A,N/A,-84.528993,38.03150566
426,​Laboratories,Aid Dermatopathology Laboratory,"3810 Springhurst Blvd, Suite 200",Louisville,KY,40241,(502) 583-1749,Malone Janine,"Associates In Dermatology, Pllc",200311,N/A,N/A,-85.5600549,38.30307912
427,​Laboratories,"American Health Mw, Llc",600 Executive Park ,Louisville,KY,40207,(937) 205-0296,Chou Phd Dabcc Peter,"American Health Mw, Llc",200299,N/A,N/A,-85.6226456,38.24176607
428,​Laboratories,"American National Red Cross - Louisville Ky, The",520 East Chestnut Street,Louisville,KY,40202,(502) 540-7044,Theus John,American Red Cross,200128,N/A,N/A,-85.74472877,38.24746928
429,​Laboratories,Ameripath Kentucky Inc,"2620 Wilhite Drive, Suite 213",Lexington,KY,40503,(859) 275-1922,Bodnar James,"Quest Diagnostics, Inc.",200132,N/A,N/A,-84.51767202,37.99691364
430,​Laboratories,Andrology Institute Of America,181 Collins Lane,Lexington,KY,40503,(859) 278-6806,Zavos Panayiotis,Fertility Technologies International Inc,200209,N/A,N/A,-84.51838098,38.01236494
431,​Laboratories,Appalachian Regional Healthcare Reference,103 Medical Ctr Dr,Hazard,KY,41701,(606) 487-7456,Edens Jacob,"Appalachian Regional Healthcare, Inc",200141,N/A,N/A,-83.2298334,37.2773048
432,​Laboratories,"Associated Pathologist, Llc",320 West 18Th Street,Hopkinsville,KY,42240,(270) 887-0141,Godbole Medha,"Associated Pathologist, Llc",200382,N/A,N/A,-87.49539427,36.86036647
433,​Laboratories,Associated Pathologists Dba Pathgroup (Tj Samson),1301 North Race Street,Glasgow,KY,42141,(270) 651-4166,Bruner Kathy,"Associated Pathologists, Llc",200258,N/A,N/A,-85.90387873,37.01141717
434,​Laboratories,"Associated Pathologists, Llc Dba Pathgroup Bowling",250 Park Street,Bowling Green,KY,42101,(615) 562-9545,Mccay Juli,"Associated Pathologists, Llc",200466,N/A,N/A,-86.4300256,36.99637389
435,​Laboratories,"Associated Pathologists, Llc Dba Pathgroup Owensbo","1201 Pleasant Valley Road, Pathology Department",Owensboro,KY,42303,(615) 562-9545,Mills Charles,Pathgroup Labs,200462,N/A,N/A,-87.06598905,37.77305247
436,​Laboratories,Asthma And Allergy Center,156 Island Creek Road,Pikeville,KY,41501,(606) 432-0174,Pagtakhan-So Leonor,Medical Investment Trust,200124,N/A,N/A,-82.52631668,37.46246486
437,​Laboratories,Baptist Health Deaconess Medical Group,1010 Medical Center Drive,Powderly,KY,42367,(270) 377-1654,Smith Alexander,"Baptist Health Deaconess Medical Group, Inc",200226,N/A,N/A,-87.16137758,37.22682853
438,​Laboratories,Bluegrass Fertility Center Inc Site B,1760 Nicholasville Rd Suite 501,Lexington,KY,40503,(859) 260-1515,Akin James,"Bluegrass Fertility Center, Inc.",200270,N/A,N/A,-84.51396318,38.01849915
439,​Laboratories,C19 Labs Llc,881 Corporate Dr,Lexington,KY,40503,(859) 215-7957,Gibbs Phillip,Colt Neck Labs Llc,200418,N/A,N/A,-84.55379903,38.01253266
440,​Laboratories,Cardinal Laboratory Llc,2211 Greene Way Ste 115,Louisville,KY,40220,(812) 760-5472,Tobias Joshua,Cardinal Laboratory Llc,200453,N/A,N/A,-85.59864961,38.21474789
441,​Laboratories,"Citizensdx, Llc","4360 Brownsboro Rd, Suite 315",Louisville,KY,40207,(561) 568-1791,Orosz Magdalena,Citizens Financial Corporation,200421,N/A,N/A,-85.56312553,38.31253896
442,​Laboratories,"Clinical Associates, Llc",4001 Dutchmans Lane,Louisville,KY,40207,(502) 893-1058,Slucher Bennie,Norton Healthcare,200215,N/A,N/A,-85.6339307,38.233967
443,​Laboratories,"Clinical Associates, Llc Dba Cpa Lab",1 Audubon Plaza Drive,Louisville,KY,40217,(502) 636-7176,Wills-Frank Lisa,Norton Healthcare,200221,N/A,N/A,-85.72304698,38.21408155
444,​Laboratories,"Clinical Enterprise, Llc",12701 Plantside Drive,Jeffersontown,KY,40299,(269) 491-0919,Kleiboeker Steven,Eurofins Clinical Testing Us Holdings Llc,200464,N/A,N/A,-85.52336834,38.2112348
445,​Laboratories,Combined Physicians Lab Llc Dba Integrated Dx,3945 Simpson Lane,Richmond,KY,40475,(859) 353-8464,Gosney Julie,"Combined Physicians Lab, Llc",200127,N/A,N/A,-84.32911944,37.86177826
446,​Laboratories,"Commonwealth Pain Associates, Pllc","100 Executive Park, Ste 165",Louisville,KY,40207,(502) 457-6965,Jackson Lewis,"Commonwealth Pain Associates, Pllc",200363,N/A,N/A,-85.62406361,38.24301424
447,​Laboratories,Cornerstone Diagnostics Inc,812 N Main St,Jamestown,KY,42629,(877) 412-8330,Clark Jason,Cornerstone Diagnostics Inc,200323,N/A,N/A,-85.07107877,36.99442936
448,​Laboratories,Cpa Lab,"2935 Breckenridge Lane, Suite 101",Louisville,KY,40220,(502) 897-9594,Martin Alvin,Norton Healthcare,200291,N/A,N/A,-85.63098123,38.2206842
449,​Laboratories,"Dbc Path, Llc",2305 The Woods Lane,Lexington,KY,40502,(859) 494-2008,Crump Daniel,"Dbc Path, Llc",200425,N/A,N/A,-84.47189815,37.99768368
450,​Laboratories,Dermatopathology Alliance Of Ky,839 S 2Nd St,Louisville,KY,40203,(502) 583-5834,Sonnier George,"George B Sonnier, Md And Paul K Fearneyhough, Md",200253,N/A,N/A,-85.75554197,38.24259767
451,​Laboratories,Division For Laboratory Services,100 Sower Blvd Suite 204,Frankfort,KY,40601,(502) 564-4446,Arora Vaneet,Commonwealth Of Kentucky,200166,N/A,N/A,-84.84680724,38.18897796
452,​Laboratories,Elite Clinical Laboratory,111 South Hubbards Lane Ste 1,Louisville,KY,40207,(502) 457-6965,Jackson Lewis,Elite Clinical Laboratory,200406,N/A,N/A,-85.63994553,38.25140736
453,​Laboratories,Ethos Laboratories,29 East 6Th Street,Newport,KY,41071,(513) 889-4423,Bourland James,Ethos Holding Corporation,200351,N/A,N/A,-84.49418343,39.09123944
454,​Laboratories,"Eurofins Diatherix Laboratories, Llc",12701 Plantside Dr,Louisville,KY,40299,(866) 979-4242,Kleiboeker Steve,"Eurofins Us Holdings, Inc. ",200370,N/A,N/A,-85.52336834,38.2112348
455,​Laboratories,Family Dermatology,2307 Greene Way,Louisville,KY,40220,(502) 495-1162,Burch Andrea,"Dermatopathology Consultants Of Kentucky, Pllc",200225,N/A,N/A,-85.59781968,38.21387854
456,​Laboratories,Family Medical Center Of Hart County,117 West South St,Munfordville,KY,42765,(270) 524-7231,Middleton James,Family Medical Center Of Hart County,200243,N/A,N/A,-85.89038529,37.27059478
457,​Laboratories,Gilbert Barbee Moore & Mcilvoy Psc,201 Park St,Bowling Green,KY,42101,(270) 783-0474,Granese Jacqueline,"Gilbert, Barbee, Moore, & Mcilvoy, Psc",200208,N/A,N/A,-86.4294523,36.99687743
458,​Laboratories,Granese Pathology Laboratory,1065 Ashley Street,Bowling Green,KY,42103,(270) 843-3376,Granese Jacqueline,"Gilbert, Barbee, Moore & Mcilvoy, Psc",200353,N/A,N/A,-86.43010725,36.96694216
459,​Laboratories,"Gravity Diagnostics, Llc",812 Russell Street,Covington,KY,41011,(855) 841-7111,Rumpler Marc,"Gravity 360, Inc",200413,N/A,N/A,-84.51284296,39.08158492
460,​Laboratories,"Hc Systems, Llc D/B/A Coastal Biotech","2520 Regency Rd, Suite 130",Lexington,KY,40503,(859) 317-8009,Millner Lori,"Hc Systems, Llc",200402,N/A,N/A,-84.52438578,38.00223759
461,​Laboratories,Healthtrackrx Indiana Inc Dba Healthtrackrx At Lab,2425 Universal Way Suite 6,Louisville,KY,40219,(770) 759-0289,Moye Jessica,Healthtrackrx Indiana Inc,200465,N/A,N/A,,
462,​Laboratories,"James R Wharton, Md Psc","13802 Lake Point Circle, Suite 102",Louisville,KY,40223,(502) 245-4450,Wharton James,"James R. Wharton, Md, Psc",200302,N/A,N/A,-85.5053513,38.27196771
463,​Laboratories,Kentucky Blood Center,3121 Beaumont Centre Circle,Lexington,KY,40513,(859) 276-2534,Williams Dennis,"Kentucky Blood Center, Inc.",200154,N/A,N/A,-84.55501948,38.01987933
464,​Laboratories,Kentucky Clinical Trials Laboratory,201 E Jefferson Street,Louisville,KY,40202,(502) 552-5753,Jortani Saeed,Saeed Jortani Ph D,200338,N/A,N/A,-85.750354,38.25318014
465,​Laboratories,Kentucky Fertility Laboratory Llc,"4612 Chamberlain Lane, Ste 200",Louisville,KY,40241,(502) 996-4480,Christensen Greg,Kentucky Fertility Laboratory Llc,200369,N/A,N/A,-85.56621849,38.30949973
466,​Laboratories,Laboratory Corporation Of America,1401 Harrodsburg Rd B 195,Lexington,KY,40504,(859) 207-6976,Baksi Mitali,Laboratory Corporation Of America,200163,N/A,N/A,-84.53353407258805,-84.53353407258805
467,​Laboratories,Laboratory Corporation Of America,11751 Interchange Drive,Louisville,KY,40229,(502) 396-9784,Ambrus Gabor,Laboratory Corporation Of America,200048,N/A,N/A,-85.67173483,38.09545703
468,​Laboratories,Lake Cumberland Medical Associates,350 Hospital Way Suite 100,Somerset,KY,42503,(606) 451-2600,Heikkinen Synda,"Lake Cumberland Regional Hospital, Llc",200272,N/A,N/A,-84.62079325,37.08545963
469,​Laboratories,Lexington Clinic - Dermatopathology Ref Lab,250 Fountain Court,Lexington,KY,40509,(859) 263-4444,Decastro Fernando,Lexington Clinic,200197,N/A,N/A,-84.43781421,38.0038846
470,​Laboratories,Lexington Clinic Laboratory,1221 South Broadway,Lexington,KY,40504,(859) 258-4143,Hunt David,"New Lexington Clinic, Psc",200050,N/A,N/A,-84.52195016,38.03477004
471,​Laboratories,Limestone Laboratories Inc,800 Corporate Dr Ste 130,Lexington,KY,40503,(859) 215-7964,Gibbs Phillip,Limestone Laboratories Inc,200448,N/A,N/A,-84.55059492,38.01161196
472,​Laboratories,Louisville Metro Health Dept Laboratory,400 E Gray St,Louisville,KY,40202,(502) 574-6540,Wolf Leslie,Louisville Metro Dept Of Public Health & Wellness,200149,N/A,N/A,-85.74735619,38.2464272
473,​Laboratories,Louisville Reproductive Center,4123 Dutchmans Lane Ste 416,Louisville,KY,40207,(502) 897-2144,Schenkman Eva,Louisville Reproductive Center,200364,N/A,N/A,-85.63120784,38.234881
474,​Laboratories,"Lucid Diagnostic Labs, Llc Dba Sv Diagnostic Lab",1718 Alexandria Dr Ste 300A,Lexington,KY,40504,(859) 215-7964,Gibbs Phillip,Madhukar Reddy Narahari,200447,N/A,N/A,-84.55214259,38.03987727
475,​Laboratories,"Md Analysis, Llc",1452 East Main Street,Hazard,KY,41701,(606) 487-0086,,,200381,N/A,N/A,-83.18376869,37.24675418
476,​Laboratories,"Md Analysis, Llc",1452 East Main Street,Hazard,KY,41701,(606) 487-0523,Van Buskirk Kryder,"Clinical Alliance Of Kentucky, Llc",200381,N/A,N/A,-83.18376869,37.24675418
477,​Laboratories,Norton Children'S Medical Center,4910 Chamberlain Lane,Louisville,KY,40241,(502) 446-5180,Debski Robert,Norton Healthcare,200312,N/A,N/A,-85.56851557,38.31521439
478,​Laboratories,Norton Community Medical Associates - Heartland,"157 Towne Drive, Suite 104",Elizabethtown,KY,42701,(270) 765-5926,Hayden Joshua,Norton Healthcare,200404,N/A,N/A,-85.8879428,37.73383012
479,​Laboratories,Nulease Medical Solutions,5722 Outer Loop,Louisville,KY,40219,(502) 492-7455,Jackson Lewis,Nulease Medical Solutions,200428,N/A,N/A,-85.6548949,38.13871864
480,​Laboratories,Ohio Fertility Providers,2401 Terra Crossing Blvd Suite 325,Louisville,KY,40245,(513) 924-5555,Warikoo Pradeep,"Fpg Labs, Llc",200403,N/A,N/A,-85.49562746,38.27209214
481,​Laboratories,"Ohio Fertility Providers, Llc","6900 Houston Rd, Bldg 600, Ste 16",Florence,KY,41042,(513) 924-5555,Warikoo Pradeep,"Fpg Labs, Llc",200367,N/A,N/A,-84.64820525,39.00919649
482,​Laboratories,"Ohio River Health, Llc",138 Eastbrooke Court Suite 140,Mount Washington,KY,40047,(502) 251-5577,Je Jia,"Ohio River Health, Llc",200456,N/A,N/A,-85.5421608519018,-85.5421608519018
483,​Laboratories,Owensboro Health Madisonville Healthplex,510 Ruby Drive,Madisonville,KY,42431,(270) 824-6613,Mesplay Renee,"Owensboro Health Medical Group, Inc.",200235,N/A,N/A,-87.4786114,37.3326842
484,​Laboratories,Owensboro Medical Practice Laboratory,1200 Breckenridge Street,Owensboro,KY,42303,(270) 691-1859,Bennett Grant,"Owensboro Medical Practice, Pllc",200274,N/A,N/A,-87.09863669,37.76518216
485,​Laboratories,P & C Labs Llc,100 Medical Center Dr,Hazard,KY,41701,(859) 278-9513,Jansen John,P & C Labs Llc,200446,N/A,N/A,-83.2281675,37.2774741
486,​Laboratories,P & C Labs Llc,"2277 Thunderstick Dr, Ste 200B",Lexington,KY,40505,(859) 278-9513,Hammonds Autumn,P & C Labs Llc,200449,N/A,N/A,-84.42568068,38.04258527
487,​Laboratories,P & C Labs Llc,1700 Old Lebanon Rd,Campbellsville,KY,42718,(859) 278-9513,Howard Jessica,P & C Labs Llc,200437,N/A,N/A,-85.33912937,37.36568051
488,​Laboratories,P & C Labs Llc,One Saint Joseph Drive,Lexington,KY,40504,(859) 278-9513,Williams Sarah,P & C Labs Llc,200407,N/A,N/A,-84.52190053,38.03131471
489,​Laboratories,"P & C Labs, Llc",290 Big Run Rd,Lexington,KY,40503,(859) 278-9513,Lozano Richard,"Chipps, Caffrey & Dubilier Psc",200072,N/A,N/A,-84.53123595,38.00044615
490,​Laboratories,"P & C Labs, Llc",3000 Baptist Health Blvd Suite 110,Lexington,KY,40509,(859) 278-9513,Crowe Patrick,"P & C Labs, Llc",200399,N/A,N/A,,
491,​Laboratories,"P & C Labs, Llc",1 Trillium Way,Corbin,KY,40701,(859) 278-9513,Meece Christine,"P&C Labs, Llc",200140,N/A,N/A,-84.11400936,36.92197795
492,​Laboratories,P&C Labs Llc,175 Hospital Dr,Winchester,KY,40391,(859) 278-9513,"Tanous, Jr Edward",P & C Labs Llc,200438,N/A,N/A,-84.2164433,38.011421
493,​Laboratories,"Pearl Medical Practice, Pllc",2202 Buechel Ave,Buechel,KY,40218,(502) 456-0494,Lee Jiyeon,Pearl Medical Practice Pllc,200409,N/A,N/A,-85.64568596,38.19155475
494,​Laboratories,"Pinnacle Health Management, Llc","21992 Main Street, Suite 2",Hyden,KY,41749,(606) 672-4800,Talameh Yousef,"Pinnacle Health Management, Llc",200337,N/A,N/A,-83.37371968,37.1623793
495,​Laboratories,"Pioneer Health Group, Llc","107 E Madison Street, Ste 1",Louisa,KY,41230,(606) 638-0938,Hart Jonathan,"Addiction Recovery Care, Llc",200379,N/A,N/A,-82.60374516,38.1143227
496,​Laboratories,"Ppd Global Central Labs, Llc",2 Tesseneer Dr,Highland Heights,KY,41076,(859) 815-6306,Kashlan Basel,"Pharmaceutical Product Development, Inc",200273,N/A,N/A,-84.46372322,39.04272259
497,​Laboratories,"Preferred Lab Partners, Llc","1 Medical Village Drive, Suite B",Edgewood,KY,41017,(859) 301-2170,Hart Jeremy,"Preferred Lab Partners, Llc",200394,N/A,N/A,-84.56477548,39.00798015
498,​Laboratories,Premier Medical Group Psc,1030 Burlew Blvd Bldg A,Owensboro,KY,42303,(270) 926-2273,Buchanan Bernard,"Premier Medical Group, Psc",200303,N/A,N/A,-87.09002152,37.74299777
